file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0504_0184_1471746_to_1479127,ཁོང་གིས་ཁྱེད་རང་ཚོར་ལན་མ་སློག་པ་བྱས། ཁྱེད་རང་ཚོས་ཉེས་བརྡུང་ག་ཚོད་བཏང་ནའང་།  ,khong gis khyed rang tshor lan ma slog pa byas/_khyed rang tshos nyes brdung ga tshod btang na'ang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0504_0184_1471746_to_1479127.wav,STT_MV,2,76,7.381,wav16k/STT_MV0504_0184_1471746_to_1479127.wav,ཁོང་གིས་ཁྱེད་རང་ཚོར་ལན་མ་སློག་པ་བྱས། ཁྱེད་རང་ཚོས་ཉེས་རྡུང་ག་ཚད་བཏང་ནའ།
STT_MV0504_0185_1479127_to_1486479,བཟེད་བྱས་བསྡད་ཀི་ཡོད་རེད། ཁོང་གི་འགྱུར་ལྡོག་འདི་ཁྱེད་རང་ཚོས་གཟིགས་མ་བྱུང་ངེ་།  ,bzed byas bsdad ki yod red/_khong gi 'gyur ldog 'di khyed rang tshos gzigs ma byung nge /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0504_0185_1479127_to_1486479.wav,STT_MV,2,79,7.352,wav16k/STT_MV0504_0185_1479127_to_1486479.wav,ཟེད་བྱས་བསྡད་ཀི་ཡོད་རེད། ཁོང་གི་འགྱུར་ལྡོག་འདི་ཁྱེད་རང་ཚོས་གཟིགས་མ་བྱུང་ངེ་།
STT_MV0504_0186_1486479_to_1489180,དེ་རིང་ཁོང་གི་ལུས་ནས་དོན་པའི་ཁྲག་འདིས།  ,de ring khong gi lus nas don pa'i khrag 'dis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0504_0186_1486479_to_1489180.wav,STT_MV,2,40,2.701,wav16k/STT_MV0504_0186_1486479_to_1489180.wav,དེ་རིང་ཁོང་གི་ལུས་ནས་འདོན་པའི་ཁྲག་འདི།
STT_MV0504_0187_1489180_to_1494160,ཁོ་རང་གི་སྡིག་པ་དག་ཡོད་རེད།  ,kho rang gi sdig pa dag yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0504_0187_1489180_to_1494160.wav,STT_MV,2,29,4.98,wav16k/STT_MV0504_0187_1489180_to_1494160.wav,ཁོ་རང་གི་སྡིག་པ་དག་ཡོད་རེད།
STT_MV0504_0156_1255667_to_1265464,སེམས་ཅན་ཀྱི་བར་ལ་ལན་ཆགས་ཀི་འབྲེལ་བ་སྣ་ཚོགས་ཡོད་རེད། ཡིན་ནའི་འགྱུར་བ་མེད་པ་དེ་འདྲས་མ་རེད། གཙོ་བོ་མི་སོ་སོར་བལྟ་རྒྱུ་རེད།  ,sems can kyi bar la lan chags ki 'brel ba sna tshogs yod red/_yin na'i 'gyur ba med pa de 'dras ma red/_gtso bo mi so sor blta rgyu red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0504_0156_1255667_to_1265464.wav,STT_MV,2,121,9.797,wav16k/STT_MV0504_0156_1255667_to_1265464.wav,སེམས་ཅན་གི་བར་ལ་ལན་ཆགས་ཀི་འབྲེལ་བ་སྣ་ཚོགས་ཡོད་རེད། ཡིན་ནས་འགྱུར་བ་མེད་པ་དེ་འདྲས་མ་རེད། གཙོ་བོ་མི་སོ་སོར་ལྟ་རྒྱུ་རེད།
STT_MV0504_0188_1494160_to_1503765,ཁྱེད་རང་ཚོའི་སྐྱོན་བརྗོད་དང་། བརྡུང་རྡེག་ལ་ཁོང་གིས་བྱམས་སྙིང་རྗེ་སྒོམས་བྱས་དངས་ལེན་གནང་གི་ཡོད་རེད། བྱས་ཙང་།  ,khyed rang tsho'i skyon brjod dang /_brdung rdeg la khong gis byams snying rje sgoms byas dngas len gnang gi yod red/_byas tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0504_0188_1494160_to_1503765.wav,STT_MV,2,109,9.605,wav16k/STT_MV0504_0188_1494160_to_1503765.wav,ཁྱེད་རང་ཚོས་སྐྱོན་བརྗོད་དང་རྡུང་རྡེག་ལ། ཁོང་གིས་བྱམས་སྙིང་རྗེ་སྒོངས་བྱས་དང་ལེན་གནང་གི་ཡོད་རེད། བྱས་ཙང་།
STT_MV0504_0189_1503765_to_1509662,སེམས་ནང་ལ། ཁོང་ཁྲོ་དང་། འཁོན་འཛིན་སྤུ་ཙམ་ཡོད་མ་རེད།  ,sems nang la/_khong khro dang /_'khon 'dzin spu tsam yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0504_0189_1503765_to_1509662.wav,STT_MV,2,53,5.897,wav16k/STT_MV0504_0189_1503765_to_1509662.wav,སེམས་ནང་ལ་ཁོང་ཁྲོ་དང་འཁོན་འཛིན་སྤུ་ཙམ་ཡོད་མ་རེད།
STT_MV0504_0190_1509662_to_1512398,ཁོང་ལ་འགྱུར་བ་ཕྱིན་ཚར་པ་རེད།  ,khong la 'gyur ba phyin tshar pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0504_0190_1509662_to_1512398.wav,STT_MV,2,30,2.736,wav16k/STT_MV0504_0190_1509662_to_1512398.wav,ཁོང་ལ་འགྱུར་བ་ཕྱིན་ཚར་པ་རེད།
STT_MV0504_0192_1521325_to_1526786,ཁྱེད་རང་ཚོ་སུས་མི་གཞན་དག་གི་སྡུག་བསྔལ་ལ། ཧན་ཧན། སེམས་འཁུར་བྱེད་ཐུབ་ཀི་ཡོད།  ,khyed rang tsho sus mi gzhan dag gi sdug bsngal la/_han han/_sems 'khur byed thub ki yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0504_0192_1521325_to_1526786.wav,STT_MV,2,76,5.461,wav16k/STT_MV0504_0192_1521325_to_1526786.wav,ཁྱེད་རང་ཚོ་སུས་མི་གཞན་དག་གི་སྡུག་བསྔལ་ལ། སེམས་ཁུར་བྱེད་ཐུབ་ཀི་ཡོད།
STT_MV0504_0194_1536960_to_1540974,གཟའ་འཁོར་སྔོན་མ་འདིར་ཚོང་པ་གཅིག་གིས་ཁོ་རང་གི་བཟལ་ཟླ་འཁྲིད་བྱས་འདི་ནས་འགྲོ་དུས།  ,gza' 'khor sngon ma 'dir tshong pa gcig gis kho rang gi bzal zla 'khrid byas 'di nas 'gro dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0504_0194_1536960_to_1540974.wav,STT_MV,2,80,4.014,wav16k/STT_MV0504_0194_1536960_to_1540974.wav,གཟའ་འཁོར་སྔོན་མ་འདིར་ཚོང་པ་གཅིག་གིས་ཁོ་རང་གི་བཟའ་ཟླ་ཁྲིད་བྱས་དེ་ནས་འགྲོ་དུས།
